run,latency_ms,gas_used
0,55,445383
1,54,357083
2,52,357083
3,60,357083
4,52,357083
5,52,357083
6,56,357083
7,71,357083
8,63,357083
9,56,437389
10,55,359883
11,55,357083
12,62,357083
13,62,357083
14,58,357083
15,56,357083
16,55,357083
17,52,357083
18,52,357083
19,58,431554
20,69,359883
21,70,357083
22,61,357083
23,63,357083
24,57,357083
25,57,357083
26,55,357083
27,59,357083
28,54,357083
29,56,425719
